ad_id,headline_1,headline_2,description_1,description_2,description_3,simulated_ctr,simulated_cpc,simulated_cpa
1d0079882a6e4da88a57dcefb43c44b8,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Join today!,Achieve your fitness goals. Affordable membership. Results guaranteed!,NYC's best gym!  Sign up for a free trial now!,5.0,0.3,10.0
779b0a5926c84b07a0ece4cd8b52d2d4,"Get Fit, London!",Your Gym. Your Goals.,Affordable gym memberships for young professionals in London.  Join today!,State-of-the-art equipment & classes.  Free trial available!,Transform your fitness journey.  Find your perfect workout.,3.26,1.27,95.0
db01c8499f2d44fb9b8a1f5b5f556060,Transform Your Body Today!,Sydney's Best Fitness Gym,Achieve your fitness goals with our expert trainers and state-of-the-art equipment. Free trial available!,"Get in shape, feel great!  Join our supportive community and reach your full potential.",Weight loss? Muscle gain?  We have the perfect program for you.  Limited time offer!,5.14,0.28,9.09
24e287c47092417193fb46ca9aefad71,Transform Your Body Today!,Sydney's Best Fitness Gym,Get in shape with our expert trainers & state-of-the-art equipment. Free trial!,Achieve your fitness goals. Join our supportive community.  Limited time offer!,"Weight loss, muscle gain, strength training.  Personalized fitness plans.",5.0,0.3,10.0
2cdcc1b2043c4d5e8fc10f26fa0d9cd7,Get Fit in Paris!,Your Fitness Journey Starts Here,"Modern gym, expert trainers, best equipment. Join today!",Achieve your fitness goals with our personalized plans.,Free trial available! Get in shape in a supportive environment.,5.14,0.28,10.0
062cf716bcdc43beaf48593c1b9cb963,Fitness Studio for Students,Affordable Gym in Rome,Get in shape with our student discounts!  Top equipment & classes.,Student-friendly gym with flexible memberships. Join today!,Workout near your university.  Free trial available!,5.14,0.28,9.09
25378dc96ff7406e9f93c0cbd16edce7,Student Gym Deals!,"Get Fit, London Students!",Affordable gym memberships for students. Free trial available!,State-of-the-art equipment & student discounts. Join today!,"Perfect student gym: Great location, cheap prices, amazing results.",4.29,0.33,10.0
4419340e39984a78bd295cb29c22ac01,Fit & Strong Student Deals!,Paris Student Gym: Get Fit!,Affordable gym memberships for students in Paris.  Sign up today!,Get in shape with our student discounts!  Modern equipment & classes.,Best student gym in Paris!  Free trial available. Limited time offer.,5.0,0.3,10.0
2a1ac12503e24f428941581b454987ad,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym in central Rome. Personal trainers, group classes, and state-of-the-art equipment. Try us today!",Achieve your fitness goals with our expert trainers. Flexible memberships to suit your busy lifestyle. Join now!,Affordable gym memberships for young professionals in Rome. Top-quality facilities and a supportive community.,5.0,0.3,10.0
11c1b1b0f9ec454ab04f87133b69138f,Fit & Strong: Student Rates!,Paris Gym: Best Student Deal,Affordable gym memberships for students in Paris! Get fit & healthy.,Top-rated gym with student discounts. Modern equipment & classes.,Student-friendly gym in Paris. Sign up today & start your fitness journey!,4.29,0.33,10.0
d3c87fab12e443879ad8e1e7176274de,Get Fit in LA!,Your Fitness Journey Starts Here,Affordable gym memberships. Top-notch equipment. Join today!,Achieve your fitness goals with our expert trainers.,"Workout anytime.  Free weights, cardio, and more!",1.92,1.67,75.0
32df90f0a4b8498d8a77c217e1234923,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Sign up today!,Achieve your fitness goals with our expert guidance and supportive community.,Affordable memberships. Results-driven workouts. Start your fitness journey now!,4.29,0.33,10.0
ce00e648270442e5bde5e1473ec96d19,"Fitter, Stronger, You!",Reach Your Fitness Goals,"Personal training, state-of-the-art equipment. Free trial!",Transform your body and mind. Join our community today!,Affordable fitness. Get in shape with our expert trainers.,5.0,0.3,10.0
232105527ed8458193d66d2c621d8199,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Join today!,Achieve your fitness goals.  Affordable memberships. Sign up now!,New client special! Get your first month free. Limited time offer.,5.0,0.3,10.0
6b37a1c923274ec18c31912aaeb9234d,Get Fit This Semester!,Student Gym Deals NYC,Affordable gym memberships for students.  Near NYU & Columbia!,State-of-the-art equipment & student discounts. Join today!,Workout anytime! Flexible student memberships available.,4.39,0.39,14.58
ad3e381ffdb847f0acda15caeca1ff4a,Top Gym in Berlin!,"Get Fit, Join Us!","State-of-the-art equipment, expert trainers. Free trial!",Achieve your fitness goals with our personalized plans.,Affordable memberships & flexible hours. Sign up today!,5.0,0.3,10.0
