industry,region,target_audience,performance_tier,headline_1,headline_2,description_1,description_2,description_3,keywords,simulated_impressions,simulated_clicks,simulated_conversions,simulated_cost,simulated_ctr,simulated_conversion_rate,simulated_cpc,simulated_cpa
Gym,"New York, USA",Fitness Enthusiasts,mid,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Join today!,Achieve your fitness goals. Affordable membership. Results guaranteed!,NYC's best gym!  Sign up for a free trial now!,"gym new york, fitness center nyc, personal trainer manhattan, weight loss gym, workout classes nyc",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"London, UK",Young Professionals,low,"Get Fit, London!",Your Gym. Your Goals.,Affordable gym memberships for young professionals in London.  Join today!,State-of-the-art equipment & classes.  Free trial available!,Transform your fitness journey.  Find your perfect workout.,"gym london, fitness london, affordable gym, gym membership london, young professionals gym",2300,75,1,95,3.26,1.33,1.27,95.0
Gym,"Sydney, Australia",Health-conscious Adults,high,Transform Your Body Today!,Sydney's Best Fitness Gym,Achieve your fitness goals with our expert trainers and state-of-the-art equipment. Free trial available!,"Get in shape, feel great!  Join our supportive community and reach your full potential.",Weight loss? Muscle gain?  We have the perfect program for you.  Limited time offer!,"gym sydney, fitness sydney, personal trainer sydney, weight loss sydney, best gym sydney",35000,1800,55,500,5.14,3.06,0.28,9.09
Gym,"Sydney, Australia",Fitness Enthusiasts,mid,Transform Your Body Today!,Sydney's Best Fitness Gym,Get in shape with our expert trainers & state-of-the-art equipment. Free trial!,Achieve your fitness goals. Join our supportive community.  Limited time offer!,"Weight loss, muscle gain, strength training.  Personalized fitness plans.","gym sydney, fitness sydney, personal trainer sydney, weight loss sydney, best gym sydney",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Paris, France",Health-conscious Adults,high,Get Fit in Paris!,Your Fitness Journey Starts Here,"Modern gym, expert trainers, best equipment. Join today!",Achieve your fitness goals with our personalized plans.,Free trial available! Get in shape in a supportive environment.,"gym paris, fitness paris, personal trainer paris, weight loss paris, best gym paris",35000,1800,50,500,5.14,2.78,0.28,10.0
Gym,"Rome, Italy",Students,high,Fitness Studio for Students,Affordable Gym in Rome,Get in shape with our student discounts!  Top equipment & classes.,Student-friendly gym with flexible memberships. Join today!,Workout near your university.  Free trial available!,"palestra studenti roma, fitness student roma, gym near university roma, economica palestra roma studenti, sconti palestra studenti",35000,1800,55,500,5.14,3.06,0.28,9.09
Gym,"London, UK",Students,high,Student Gym Deals!,"Get Fit, London Students!",Affordable gym memberships for students. Free trial available!,State-of-the-art equipment & student discounts. Join today!,"Perfect student gym: Great location, cheap prices, amazing results.","student gym london, cheap gym london students, university gym membership, fitness london students, student discounts gym",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Paris, France",Students,mid,Fit & Strong Student Deals!,Paris Student Gym: Get Fit!,Affordable gym memberships for students in Paris.  Sign up today!,Get in shape with our student discounts!  Modern equipment & classes.,Best student gym in Paris!  Free trial available. Limited time offer.,"student gym paris, cheap gym paris students, fitness student paris, gym membership students paris, affordable gym paris",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Rome, Italy",Young Professionals,mid,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym in central Rome. Personal trainers, group classes, and state-of-the-art equipment. Try us today!",Achieve your fitness goals with our expert trainers. Flexible memberships to suit your busy lifestyle. Join now!,Affordable gym memberships for young professionals in Rome. Top-quality facilities and a supportive community.,"gym Rome, fitness center Rome, personal trainer Rome, gym membership Rome, workout Rome",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Paris, France",Students,high,Fit & Strong: Student Rates!,Paris Gym: Best Student Deal,Affordable gym memberships for students in Paris! Get fit & healthy.,Top-rated gym with student discounts. Modern equipment & classes.,Student-friendly gym in Paris. Sign up today & start your fitness journey!,"gym paris étudiant, salle de sport étudiant paris, abonnement étudiant fitness paris, remise étudiant salle sport paris, fitness pas cher étudiant paris",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Los Angeles, USA",Health-conscious Adults,low,Get Fit in LA!,Your Fitness Journey Starts Here,Affordable gym memberships. Top-notch equipment. Join today!,Achieve your fitness goals with our expert trainers.,"Workout anytime.  Free weights, cardio, and more!","gym los angeles, fitness center los angeles, workout los angeles, health club los angeles, personal trainer los angeles",2345,45,1,75,1.92,2.22,1.67,75.0
